precision,recall,threshold
0.5,1.0,0.0011062799021601677
0.5025125628140703,1.0,0.0012547133956104517
0.5050505050505051,1.0,0.0013871813425794244
0.5076142131979695,1.0,0.0014554663794115186
0.5102040816326531,1.0,0.0015068069333210588
0.5128205128205128,1.0,0.0015144915087148547
0.5154639175257731,1.0,0.00151970109436661
0.5129533678756477,0.99,0.0015203595394268632
0.515625,0.99,0.0015802030684426427
0.518324607329843,0.99,0.0016252187779173255
0.5210526315789473,0.99,0.0017503089038655162
0.5185185185185185,0.98,0.0017972021596506238
0.5212765957446809,0.98,0.0018479889258742332
0.5187165775401069,0.97,0.0018602274358272552
0.5161290322580645,0.96,0.0020250158850103617
0.518918918918919,0.96,0.002039284911006689
0.5163043478260869,0.95,0.002082063117995858
0.5191256830601093,0.95,0.002113408874720335
0.521978021978022,0.95,0.0021883451845496893
0.5193370165745856,0.94,0.0021903766319155693
0.5166666666666667,0.93,0.0022685956209897995
0.5195530726256983,0.93,0.002466675126925111
0.5224719101123596,0.93,0.002494742162525654
0.519774011299435,0.92,0.0025059753097593784
0.5170454545454546,0.91,0.0025601328816264868
0.52,0.91,0.0026142403949052095
0.5229885057471264,0.91,0.0026405483949929476
0.5260115606936416,0.91,0.002683231607079506
0.5290697674418605,0.91,0.002709567081183195
0.5263157894736842,0.9,0.0027268121484667063
0.5235294117647059,0.89,0.0027394285425543785
0.5207100591715976,0.88,0.0027595495339483023
0.5178571428571429,0.87,0.0027651842683553696
0.5209580838323353,0.87,0.002770570106804371
0.5180722891566265,0.86,0.0027962420135736465
0.5212121212121212,0.86,0.0028654879424721003
0.524390243902439,0.86,0.0029187959153205156
0.5276073619631901,0.86,0.0029237354174256325
0.5308641975308642,0.86,0.0029439714271575212
0.5279503105590062,0.85,0.003072295803576708
0.53125,0.85,0.003117019310593605
0.5345911949685535,0.85,0.0031338597182184458
0.5316455696202531,0.84,0.003138260915875435
0.5286624203821656,0.83,0.0031507445964962244
0.532051282051282,0.83,0.003185905981808901
0.5290322580645161,0.82,0.003206950379535556
0.525974025974026,0.81,0.003395157866179943
0.5228758169934641,0.8,0.0034853217657655478
0.5263157894736842,0.8,0.0036184624768793583
0.5298013245033113,0.8,0.003923144191503525
0.5333333333333333,0.8,0.003948717378079891
0.5302013422818792,0.79,0.0039594052359461784
0.527027027027027,0.78,0.004044969566166401
0.5306122448979592,0.78,0.004068649839609861
0.5342465753424658,0.78,0.0040718382224440575
0.5310344827586206,0.77,0.0040764049626886845
0.5277777777777778,0.76,0.004101826809346676
0.5244755244755245,0.75,0.004283048678189516
0.5211267605633803,0.74,0.004366996232420206
0.524822695035461,0.74,0.004472265485674143
0.5214285714285715,0.73,0.004484657663851976
0.5179856115107914,0.72,0.004584364593029022
0.5217391304347826,0.72,0.004673666786402464
0.5182481751824818,0.71,0.00470908684656024
0.5220588235294118,0.71,0.004794532433152199
0.5259259259259259,0.71,0.0049049523659050465
0.5223880597014925,0.7,0.00498833367601037
0.518796992481203,0.69,0.005233054514974356
0.5227272727272727,0.69,0.005364274140447378
0.5267175572519084,0.69,0.00542526924982667
0.5230769230769231,0.68,0.005428812000900507
0.5193798449612403,0.67,0.005552865564823151
0.515625,0.66,0.005675224587321281
0.5196850393700787,0.66,0.005677480250597
0.5238095238095238,0.66,0.005754329729825258
0.52,0.65,0.005818206816911697
0.5161290322580645,0.64,0.00591099401935935
0.5121951219512195,0.63,0.006073846016079187
0.5163934426229508,0.63,0.006174272391945124
0.512396694214876,0.62,0.006237689405679703
0.5083333333333333,0.61,0.006331534590572119
0.5042016806722689,0.6,0.006641793064773083
0.5,0.59,0.006654634606093168
0.5042735042735043,0.59,0.006801112554967403
0.5,0.58,0.006817492190748453
0.4956521739130435,0.57,0.006839304696768522
0.5,0.57,0.007072270382195711
0.49557522123893805,0.56,0.007204934023320675
0.49107142857142855,0.55,0.00737047428265214
0.4864864864864865,0.54,0.007380299735814333
0.4909090909090909,0.54,0.007380442228168249
0.48623853211009177,0.53,0.007477245293557644
0.48148148148148145,0.52,0.007630189880728722
0.48598130841121495,0.52,0.0077148680575191975
0.49056603773584906,0.52,0.007907350547611713
0.49523809523809526,0.52,0.007984661497175694
0.49038461538461536,0.51,0.008019440807402134
0.4854368932038835,0.5,0.00802491046488285
0.49019607843137253,0.5,0.008059976622462273
0.48514851485148514,0.49,0.008105510845780373
0.48,0.48,0.008109374903142452
