precision,recall,threshold
0.5,1.0,0.00029926717979833484
0.5025125628140703,1.0,0.00033942091977223754
0.5050505050505051,1.0,0.0003752557095140219
0.5076142131979695,1.0,0.00039372796891257167
0.5102040816326531,1.0,0.0004076164332218468
0.5128205128205128,1.0,0.00040969523251987994
0.5154639175257731,1.0,0.00041110452730208635
0.5129533678756477,0.99,0.00041128264274448156
0.515625,0.99,0.0004274712991900742
0.518324607329843,0.99,0.00047236683894880116
0.5210526315789473,0.99,0.0004734878020826727
0.5185185185185185,0.98,0.00048617320135235786
0.5212765957446809,0.98,0.000503222574479878
0.5187165775401069,0.97,0.0005478005623444915
0.521505376344086,0.97,0.0005516606033779681
0.518918918918919,0.96,0.0005632328102365136
0.5217391304347826,0.96,0.0005919839022681117
0.5191256830601093,0.95,0.0005925334407947958
0.5164835164835165,0.94,0.0006506785866804421
0.5193370165745856,0.94,0.0006748693995177746
0.5166666666666667,0.93,0.0006779081304557621
0.5139664804469274,0.92,0.0006899017607793212
0.5112359550561798,0.91,0.0006925587076693773
0.5141242937853108,0.91,0.0007071956642903388
0.5170454545454546,0.91,0.0007143124239519238
0.52,0.91,0.0007329831714741886
0.5172413793103449,0.9,0.0007376482244580984
0.5144508670520231,0.89,0.0007410611724480987
0.5116279069767442,0.88,0.0007494855090044439
0.5087719298245614,0.87,0.0007895830203779042
0.5117647058823529,0.87,0.0007909192354418337
0.514792899408284,0.87,0.000794679915998131
0.5119047619047619,0.86,0.0007963934331201017
0.5089820359281437,0.85,0.0008311073179356754
0.5120481927710844,0.85,0.0008432057220488787
0.5151515151515151,0.85,0.0008477613446302712
0.5121951219512195,0.84,0.0008489519823342562
0.50920245398773,0.83,0.0008618407882750034
0.5061728395061729,0.82,0.0008675336139276624
0.5031055900621118,0.81,0.0009184468653984368
0.5,0.8,0.0009288608562201262
0.5031446540880503,0.8,0.0009788544848561287
0.5063291139240507,0.8,0.001068193931132555
0.5031847133757962,0.79,0.0010700644925236702
0.5064102564102564,0.79,0.0010710852220654488
0.5032258064516129,0.78,0.0010942318476736546
0.5064935064935064,0.78,0.0011015002382919192
0.5032679738562091,0.77,0.0011027356376871467
0.5,0.76,0.0011586361797526479
0.4966887417218543,0.75,0.0011628621723502874
0.5,0.75,0.0011813454329967499
0.5033557046979866,0.75,0.0012098224833607674
0.5,0.74,0.0012131747789680958
0.4965986394557823,0.73,0.0012643048539757729
0.4931506849315068,0.72,0.0012970010284334421
0.496551724137931,0.72,0.001326871570199728
0.4930555555555556,0.71,0.0013494276208803058
0.48951048951048953,0.7,0.0013570475857704878
0.4859154929577465,0.69,0.0013639421667903662
0.48226950354609927,0.68,0.0013973553432151675
0.4785714285714286,0.67,0.0014156285906210542
0.48201438848920863,0.67,0.0014754139119759202
0.4855072463768116,0.67,0.0015021428698673844
0.48175182481751827,0.66,0.00153585325460881
0.4852941176470588,0.66,0.0015566423535346985
0.48148148148148145,0.65,0.001573922112584114
0.47761194029850745,0.64,0.0015990225365385413
0.47368421052631576,0.63,0.0016430767718702555
0.4772727272727273,0.63,0.001682798727415502
0.4732824427480916,0.62,0.001687399111688137
0.46923076923076923,0.61,0.0017127858009189367
0.46511627906976744,0.6,0.0017967158928513527
0.4609375,0.59,0.0018501459853723645
0.4645669291338583,0.59,0.0018662330694496632
0.46825396825396826,0.59,0.0019131673034280539
0.464,0.58,0.0019490550039336085
0.4596774193548387,0.57,0.0019938363693654537
0.45528455284552843,0.56,0.0019964943639934063
0.45901639344262296,0.56,0.001996532781049609
0.45454545454545453,0.55,0.002022719709202647
0.45,0.54,0.002087000524625182
0.453781512605042,0.54,0.002159984316676855
0.4491525423728814,0.53,0.002170872176066041
0.452991452991453,0.53,0.0021803583949804306
0.4482758620689655,0.52,0.0022487309761345387
0.45217391304347826,0.52,0.0023233979009091854
0.45614035087719296,0.52,0.002577401464805007
0.46017699115044247,0.52,0.0026250958908349276
0.4642857142857143,0.52,0.00272178091108799
0.46846846846846846,0.52,0.002789710881188512
0.4636363636363636,0.51,0.0027971204835921526
0.45871559633027525,0.5,0.00294181308709085
0.4537037037037037,0.49,0.0029665008187294006
0.45794392523364486,0.49,0.0029984479770064354
0.46226415094339623,0.49,0.003123305970802903
0.4666666666666667,0.49,0.003158111125230789
0.47115384615384615,0.49,0.003259971272200346
0.46601941747572817,0.48,0.0033829209860414267
0.47058823529411764,0.48,0.003453935729339719
0.46534653465346537,0.47,0.0036095522809773684
0.46,0.46,0.003671744605526328
0.45454545454545453,0.45,0.003727471921592951
0.4489795918367347,0.44,0.0037732345517724752
0.44329896907216493,0.43,0.0038761005271226168
0.4375,0.42,0.003954075276851654
0.4421052631578947,0.42,0.004002257715910673
0.44680851063829785,0.42,0.004093540366739035
0.44086021505376344,0.41,0.0041513592004776
0.43478260869565216,0.4,0.004272281192243099
0.43956043956043955,0.4,0.0043828911148011684
0.4444444444444444,0.4,0.0045640436001122
0.449438202247191,0.4,0.0046382793225348
0.4431818181818182,0.39,0.004741341341286898
0.4482758620689655,0.39,0.004790884908288717
0.4418604651162791,0.38,0.005036990623921156
0.4470588235294118,0.38,0.005293462425470352
0.4523809523809524,0.38,0.005621304735541344
0.4578313253012048,0.38,0.005786355584859848
0.4634146341463415,0.38,0.005818365607410669
0.4691358024691358,0.38,0.00582930538803339
0.475,0.38,0.0061184680089354515
0.46835443037974683,0.37,0.0071624391712248325
0.46153846153846156,0.36,0.007185261696577072
0.45454545454545453,0.35,0.007253192365169525
0.4473684210526316,0.34,0.0073251561261713505
0.44,0.33,0.007432914339005947
0.43243243243243246,0.32,0.0075128283351659775
0.4383561643835616,0.32,0.007595079019665718
0.4305555555555556,0.31,0.009080309420824051
0.4225352112676056,0.3,0.009433907456696033
0.42857142857142855,0.3,0.010081259533762932
0.43478260869565216,0.3,0.010166686028242111
0.4264705882352941,0.29,0.010840319097042084
0.417910447761194,0.28,0.01119805034250021
0.42424242424242425,0.28,0.011577597819268703
0.4307692307692308,0.28,0.012541364878416061
0.4375,0.28,0.01291031576693058
0.4444444444444444,0.28,0.013726560398936272
0.45161290322580644,0.28,0.013839620165526867
0.45901639344262296,0.28,0.014151174575090408
0.45,0.27,0.014471356756985188
0.4576271186440678,0.27,0.016404250636696815
0.46551724137931033,0.27,0.016722645610570908
0.47368421052631576,0.27,0.01712292619049549
0.4642857142857143,0.26,0.017141513526439667
0.45454545454545453,0.25,0.0172318946570158
0.4444444444444444,0.24,0.017257612198591232
0.4528301886792453,0.24,0.017292726784944534
0.3333333333333333,0.11,0.019864065572619438
0.34375,0.11,0.020512273535132408
0.3225806451612903,0.1,0.02693341299891472
0.3333333333333333,0.1,0.03229958936572075
0.3103448275862069,0.09,0.03663655370473862
0.2857142857142857,0.08,0.10011570155620575
0.2962962962962963,0.08,0.10218638926744461
0.2692307692307692,0.07,0.12737397849559784
0.24,0.06,0.13257326185703278
0.25,0.06,0.1404283046722412
0.2608695652173913,0.06,0.1407659649848938
0.22727272727272727,0.05,0.17228159308433533
0.23809523809523808,0.05,0.17356199026107788
0.2,0.04,0.17363229393959045
0.21052631578947367,0.04,0.18188151717185974
0.2222222222222222,0.04,0.19198623299598694
0.23529411764705882,0.04,0.22736318409442902
0.1875,0.03,0.23322069644927979
0.2,0.03,0.24104854464530945
0.21428571428571427,0.03,0.24268701672554016
0.23076923076923078,0.03,0.24802279472351074
0.16666666666666666,0.02,0.295051634311676
0.09090909090909091,0.01,0.4344673454761505
0.1,0.01,0.49316513538360596
0.1111111111111111,0.01,0.5131725668907166
0.125,0.01,0.6317034959793091
0.14285714285714285,0.01,0.649279773235321
0.16666666666666666,0.01,0.6761000156402588
0.2,0.01,0.7454527020454407
0.25,0.01,0.7839934825897217
0.0,0.0,0.9374988079071045
0.0,0.0,0.943726658821106
0.0,0.0,0.9779714941978455
1.0,0.0,
