precision,recall,threshold
0.5,1.0,-0.9779714941978455
0.5025125628140703,1.0,-0.943726658821106
0.5050505050505051,1.0,-0.9374988079071045
0.5076142131979695,1.0,-0.7839934825897217
0.5051020408163265,0.99,-0.7454527020454407
0.5076923076923077,0.99,-0.6761000156402588
0.5103092783505154,0.99,-0.649279773235321
0.5129533678756477,0.99,-0.6317034959793091
0.515625,0.99,-0.5131725668907166
0.518324607329843,0.99,-0.49316513538360596
0.5210526315789473,0.99,-0.4344673454761505
0.5238095238095238,0.99,-0.295051634311676
0.5212765957446809,0.98,-0.24802279472351074
0.5187165775401069,0.97,-0.24268701672554016
0.521505376344086,0.97,-0.24104854464530945
0.5243243243243243,0.97,-0.23322069644927979
0.5271739130434783,0.97,-0.22736318409442902
0.5245901639344263,0.96,-0.19198623299598694
0.5274725274725275,0.96,-0.18188151717185974
0.5303867403314917,0.96,-0.17363229393959045
0.5333333333333333,0.96,-0.17356199026107788
0.5307262569832403,0.95,-0.17228159308433533
0.5337078651685393,0.95,-0.1407659649848938
0.5310734463276836,0.94,-0.1404283046722412
0.5340909090909091,0.94,-0.13257326185703278
0.5371428571428571,0.94,-0.12737397849559784
0.5344827586206896,0.93,-0.10218638926744461
0.5317919075144508,0.92,-0.10011570155620575
0.5348837209302325,0.92,-0.03663655370473862
0.5321637426900585,0.91,-0.03229958936572075
0.5294117647058824,0.9,-0.02693341299891472
0.5325443786982249,0.9,-0.020512273535132408
0.5297619047619048,0.89,-0.019864065572619438
0.5329341317365269,0.89,-0.017292726784944534
0.5170068027210885,0.76,-0.017257612198591232
0.5205479452054794,0.76,-0.0172318946570158
0.5172413793103449,0.75,-0.017141513526439667
0.5138888888888888,0.74,-0.01712292619049549
0.5104895104895105,0.73,-0.016722645610570908
0.5140845070422535,0.73,-0.016404250636696815
0.5177304964539007,0.73,-0.014471356756985188
0.5214285714285715,0.73,-0.014151174575090408
0.5179856115107914,0.72,-0.013839620165526867
0.5217391304347826,0.72,-0.013726560398936272
0.5255474452554745,0.72,-0.01291031576693058
0.5294117647058824,0.72,-0.012541364878416061
0.5333333333333333,0.72,-0.011577597819268703
0.5373134328358209,0.72,-0.01119805034250021
0.5413533834586466,0.72,-0.010840319097042084
0.5378787878787878,0.71,-0.010166686028242111
0.5343511450381679,0.7,-0.010081259533762932
0.5384615384615384,0.7,-0.009433907456696033
0.5426356589147286,0.7,-0.009080309420824051
0.5390625,0.69,-0.007595079019665718
0.5354330708661418,0.68,-0.0075128283351659775
0.5396825396825397,0.68,-0.007432914339005947
0.536,0.67,-0.0073251561261713505
0.532258064516129,0.66,-0.007253192365169525
0.5284552845528455,0.65,-0.007185261696577072
0.5245901639344263,0.64,-0.0071624391712248325
0.5206611570247934,0.63,-0.0061184680089354515
0.5166666666666667,0.62,-0.00582930538803339
0.5210084033613446,0.62,-0.005818365607410669
0.5254237288135594,0.62,-0.005786355584859848
0.5299145299145299,0.62,-0.005621304735541344
0.5344827586206896,0.62,-0.005293462425470352
0.5391304347826087,0.62,-0.005036990623921156
0.543859649122807,0.62,-0.004790884908288717
0.5398230088495575,0.61,-0.004741341341286898
0.5446428571428571,0.61,-0.0046382793225348
0.5405405405405406,0.6,-0.0045640436001122
0.5454545454545454,0.6,-0.0043828911148011684
0.5504587155963303,0.6,-0.004272281192243099
0.5555555555555556,0.6,-0.0041513592004776
0.5514018691588785,0.59,-0.004093540366739035
0.5471698113207547,0.58,-0.004002257715910673
0.5523809523809524,0.58,-0.003954075276851654
0.5576923076923077,0.58,-0.0038761005271226168
0.5533980582524272,0.57,-0.0037732345517724752
0.5490196078431373,0.56,-0.003727471921592951
0.5445544554455446,0.55,-0.003671744605526328
0.54,0.54,-0.0036095522809773684
0.5353535353535354,0.53,-0.003453935729339719
0.5306122448979592,0.52,-0.0033829209860414267
0.5360824742268041,0.52,-0.003259971272200346
0.53125,0.51,-0.003158111125230789
0.5368421052631579,0.51,-0.003123305970802903
0.5425531914893617,0.51,-0.0029984479770064354
0.5483870967741935,0.51,-0.0029665008187294006
0.5543478260869565,0.51,-0.00294181308709085
0.5494505494505495,0.5,-0.0027971204835921526
0.5444444444444444,0.49,-0.002789710881188512
0.5393258426966292,0.48,-0.00272178091108799
0.5454545454545454,0.48,-0.0026250958908349276
0.5517241379310345,0.48,-0.002577401464805007
0.5581395348837209,0.48,-0.0023233979009091854
0.5647058823529412,0.48,-0.0022487309761345387
0.5714285714285714,0.48,-0.0021803583949804306
0.5662650602409639,0.47,-0.002170872176066041
0.573170731707317,0.47,-0.002159984316676855
0.5679012345679012,0.46,-0.002087000524625182
0.575,0.46,-0.002022719709202647
0.569620253164557,0.45,-0.001996532781049609
0.5641025641025641,0.44,-0.0019964943639934063
0.5714285714285714,0.44,-0.0019938363693654537
