precision,recall,threshold
0.5,1.0,-0.403228759765625
0.49748743718592964,0.99,-0.22596269845962524
0.5,0.99,-0.2019439935684204
0.49746192893401014,0.98,-0.18721091747283936
0.49489795918367346,0.97,-0.1519421935081482
0.49230769230769234,0.96,-0.14191532135009766
0.4896907216494845,0.95,-0.13326364755630493
0.48704663212435234,0.94,-0.12381678819656372
0.484375,0.93,-0.112801194190979
0.4869109947643979,0.93,-0.11214661598205566
0.48947368421052634,0.93,-0.08554929494857788
0.48677248677248675,0.92,-0.06813496351242065
0.48404255319148937,0.91,-0.04070568084716797
0.48128342245989303,0.9,-0.03980129957199097
0.478494623655914,0.89,-0.031950950622558594
0.4756756756756757,0.88,-0.02624136209487915
0.4782608695652174,0.88,-0.025779306888580322
0.4808743169398907,0.88,-0.01593083143234253
0.47802197802197804,0.87,-0.004739642143249512
0.48066298342541436,0.87,-0.0
1.0,0.0,
