precision,recall,threshold
0.5,1.0,-0.3071069121360779
0.5025125628140703,1.0,-0.24723273515701294
0.5050505050505051,1.0,-0.18927901983261108
0.5076142131979695,1.0,-0.18468689918518066
0.5102040816326531,1.0,-0.1801971197128296
0.5128205128205128,1.0,-0.15544021129608154
0.5154639175257731,1.0,-0.13830024003982544
0.5129533678756477,0.99,-0.13755923509597778
0.5104166666666666,0.98,-0.12752240896224976
0.5078534031413613,0.97,-0.11205589771270752
0.5052631578947369,0.96,-0.10928875207901001
0.5026455026455027,0.95,-0.10897225141525269
0.5,0.94,-0.10885483026504517
0.5026737967914439,0.94,-0.09972524642944336
0.5053763440860215,0.94,-0.09556370973587036
0.5081081081081081,0.94,-0.07883656024932861
0.5108695652173914,0.94,-0.047745347023010254
0.5136612021857924,0.94,-0.029145359992980957
0.510989010989011,0.93,-0.025023221969604492
0.5138121546961326,0.93,-0.02428901195526123
0.5111111111111111,0.92,-0.016632676124572754
0.5139664804469274,0.92,-0.015328824520111084
0.5168539325842697,0.92,-0.013837695121765137
0.519774011299435,0.92,-0.00954437255859375
0.5170454545454546,0.91,-0.005612075328826904
0.5142857142857142,0.9,-0.0047029852867126465
0.5172413793103449,0.9,-0.0
1.0,0.0,
